Battery,Cycle,Capacity,SOH
B0005,1,1.8564874208181574,0.912127515858892
B0005,2,1.846327249719927,0.9071356309042145
B0005,3,1.8353491942234077,0.9017419038168591
B0005,4,1.8352625275821128,0.901699322850597
B0005,5,1.8346455082120419,0.9013961695197698
B0005,6,1.8356616600675495,0.9018954242183506
B0005,7,1.8351461429226603,0.9016421408578077
B0005,8,1.8257567905665537,0.8970289737853774
B0005,9,1.8247738529891333,0.8965460378922047
B0005,10,1.824613268496936,0.8964671396824399
B0005,11,1.8246195526864504,0.8964702272240556
B0005,12,1.8142019357673917,0.8913518542499135
B0005,13,1.8137521577549054,0.8911308697731987
B0005,14,1.8134404914735822,0.8909777422120999
B0005,15,1.8025980036306504,0.8856506220867477
B0005,16,1.80210690024615,0.885409333670187
B0005,17,1.802579500826209,0.885641531307644
B0005,18,1.8030683142834096,0.8858816946394474
B0005,19,1.8027776247196041,0.8857388733379149
B0005,20,1.8470259949329193,0.9074789376932602
B0005,21,1.847417311283644,0.9076711988456381
B0005,22,1.8361774213478947,0.902148827527278
B0005,23,1.8257807475776242,0.8970407443197479
B0005,24,1.8251136435078368,0.896712983425076
B0005,25,1.8255815042203762,0.8969428522756328
B0005,26,1.8140311275083907,0.8912679329094165
B0005,27,1.8147691941158939,0.8916305590461148
B0005,28,1.813969388710352,0.8912375994658092
B0005,29,1.802765665167823,0.8857329973830689
B0005,30,1.804077040117352,0.8863773007926478
B0005,31,1.8518025516704486,0.9098257507028746
B0005,32,1.8307038456739428,0.8994595558810704
B0005,33,1.8199041089501267,0.8941534401921835
B0005,34,1.8093079637028517,0.8889473528609709
B0005,35,1.80460990458052,0.8866391072200054
B0005,36,1.7993770651972192,0.8840681138838506
B0005,37,1.7884432335370462,0.878696114806896
B0005,38,1.7829230484252723,0.8759839430589913
B0005,39,1.7730337158018288,0.8711251261889322
B0005,40,1.773037755078937,0.8711271107624624
B0005,41,1.7678721106662054,0.8685891315910664
B0005,42,1.7623150704093087,0.8658588522106561
B0005,43,1.7676172924938447,0.8684639345851806
B0005,44,1.762668359743147,0.8660324299676824
B0005,45,1.7517304870664143,0.8606584454625721
B0005,46,1.7418496047960008,0.8558037804113893
B0005,47,1.7360913511847138,0.8529746410898666
B0005,48,1.7936240148573608,0.8812415310283667
B0005,49,1.7831890223273275,0.8761146210866712
B0005,50,1.7673642076278957,0.8683395891856422
B0005,51,1.7570177850353066,0.8632561953357418
B0005,52,1.7468706179837907,0.8582706995161011
B0005,53,1.7417172507457144,0.8557387523536993
B0005,54,1.7364225056478186,0.8531373435646641
B0005,55,1.7263217239235826,0.8481746377369564
B0005,56,1.7158065389330133,0.8430083277169198
B0005,57,1.710533351135192,0.8404175104386834
B0005,58,1.706014499648521,0.8381973129114327
B0005,59,1.7003110272642588,0.8353950886467867
B0005,60,1.6945798601797895,0.8325792574501361
B0005,61,1.6849029086609286,0.827824787448882
B0005,62,1.6744741591159717,0.8227009448042796
B0005,63,1.6745692479879102,0.8227476637723558
B0005,64,1.663716375981405,0.8174154417102932
B0005,65,1.659013868748246,0.8151050106280296
B0005,66,1.6538540573335014,0.8125698973192859
B0005,67,1.642653782130131,0.807066989471042
B0005,68,1.6378578430223698,0.8047106535349521
B0005,69,1.6327350407099108,0.8021937235007911
B0005,70,1.6277528915533617,0.799745899032474
B0005,71,1.622125485521159,0.7969810476107388
B0005,72,1.6113256603765849,0.7916748884790549
B0005,73,1.6065631397488385,0.7893349716766568
B0005,74,1.6015142233917594,0.7868543432151225
B0005,75,1.590369231400328,0.7813785970584738
B0005,76,1.5857889968242211,0.7791282408540057
B0005,77,1.5849430707374117,0.7787126213073773
B0005,78,1.5955263892495937,0.783912406620119
B0005,79,1.5747301747801037,0.7736948316284366
B0005,80,1.5649019950937946,0.7688660603573997
B0005,81,1.5597659473370362,0.7663426225849853
B0005,82,1.5594815668184234,0.7662029010371353
B0005,83,1.55468935359061,0.7638483956966007
B0005,84,1.5488741079890418,0.7609912551282416
B0005,85,1.538236598942558,0.7557648449771728
B0005,86,1.527914258251028,0.7506932830224652
B0005,87,1.5285252629756445,0.7509934812437906
B0005,88,1.522647325284378,0.7481055388615333
B0005,89,1.5174859938489869,0.7455696787377879
B0005,90,1.605818899130659,0.7889693121312976
B0005,91,1.5638491446744425,0.7683487749576681
B0005,92,1.5480915247767786,0.7606067571384627
B0005,93,1.5323755631868592,0.7528852068367485
B0005,94,1.5269528268489705,0.75022091352155
B0005,95,1.5169573017136326,0.7453099222542982
B0005,96,1.5118975960142693,0.7428239927840604
B0005,97,1.5065638960681105,0.7402034447385033
B0005,98,1.5015453526671363,0.7377377390869436
B0005,99,1.4908444050400238,0.73248016035681
B0005,100,1.485868384561201,0.7300353470242148
B0005,101,1.480413677976106,0.7273553461195982
B0005,102,1.4752095869031632,0.7247984773741182
B0005,103,1.4859035988304024,0.7300526484632276
B0005,104,1.4960918298136696,0.7350583197721496
B0005,105,1.4808005946928984,0.7275454456482967
B0005,106,1.4697543268466824,0.7221182045385021
B0005,107,1.4539012274845928,0.7143292758457159
B0005,108,1.4541462067235693,0.7144496387968348
B0005,109,1.455023751906683,0.7148807934057761
B0005,110,1.449042163761236,0.7119419255875428
B0005,111,1.4386709371480566,0.706846345051414
B0005,112,1.433445432156979,0.7042789552414042
B0005,113,1.4333958900838095,0.7042546142802838
B0005,114,1.42806487344776,0.7016353845959268
B0005,115,1.4229203181741186,0.6991077669189499
B0005,116,1.417429032731308,0.6964097941270763
B0005,117,1.412409228794446,0.6939434691503035
B0005,118,1.412578792940193,0.6940267792343388
B0005,119,1.4075983731469897,0.691579804435066
B0005,120,1.4333920485221476,0.704252726848106
B0005,121,1.4382550176792908,0.7066419959200444
B0005,122,1.4173547174485526,0.696373281617759
B0005,123,1.406981663677643,0.6912768033643483
B0005,124,1.4012037783587625,0.6884380186121707
B0005,125,1.3967008232726328,0.6862256312883042
B0005,126,1.391284788852726,0.6835646307526482
B0005,127,1.3862287677978349,0.6810805116181938
B0005,128,1.3804366761974138,0.6782347470501846
B0005,129,1.3752364150256224,0.6756797600078522
B0005,130,1.3705128024895008,0.673358959489552
B0005,131,1.3705085566270399,0.6733568734167159
B0005,132,1.3647355108681518,0.6705204664322432
B0005,133,1.375392016895762,0.6757562101608033
B0005,134,1.3861115151535393,0.6810229031679722
B0005,135,1.3698500035838939,0.6730333138037768
B0005,136,1.3647827949260758,0.6705436979876043
B0005,137,1.3543220466259964,0.6654041337471035
B0005,138,1.3546417018378962,0.6655611864214669
B0005,139,1.3547039213192407,0.6655917560339083
B0005,140,1.349314997503458,0.662944075452762
B0005,141,1.3441891937970554,0.660425670776774
B0005,142,1.3389913790695755,0.6578718857189784
B0005,143,1.3389145230206971,0.6578341248830276
B0005,144,1.3340066759761655,0.6554228064529942
B0005,145,1.3286444309174914,0.6527882336517201
B0005,146,1.3231708992276219,0.6500989836157272
B0005,147,1.3181691588445197,0.6476415336058589
B0005,148,1.3184664436640334,0.6477875952817338
B0005,149,1.318293040102702,0.6477023988199293
B0005,150,1.323872422244268,0.6504436551924455
B0005,151,1.3601216766554785,0.66825360208843
B0005,152,1.3395306867947354,0.6581368578432801
B0005,153,1.3290286565120697,0.6529770109809829
B0005,154,1.3236741274998955,0.6503462292198459
B0005,155,1.318633896753293,0.6478698681636378
B0005,156,1.3134751321324272,0.6453352691646005
B0005,157,1.3132020634442203,0.6452011053337876
B0005,158,1.3077959946944353,0.6425450011210638
B0005,159,1.3030329186405918,0.6402048114272794
B0005,160,1.3033573559038205,0.6403642136142494
B0005,161,1.3034100438655642,0.640390100210152
B0005,162,1.2978870806495706,0.6376765635269008
B0005,163,1.2980735056918902,0.6377681576895319
B0005,164,1.293463613844243,0.6355032303045031
B0005,165,1.288003392619118,0.6328205199525425
B0005,166,1.2874525221379407,0.6325498668266869
B0005,167,1.3090153642307354,0.643144100524371
B0005,168,1.3250793286429356,0.6510366312196173
B0006,1,2.035337591005598,1.0
B0006,2,2.0251402460314116,0.9949898508143074
B0006,3,2.013326371345464,0.9891854698908897
B0006,4,2.0132846655407413,0.9891649790372313
B0006,5,2.000528337624771,0.9828975529491258
B0006,6,2.0138990759931645,0.989466850557287
B0006,7,2.013101105626967,0.98907479256665
B0006,8,1.9687898262728398,0.9673038197560735
B0006,9,1.9681661764334244,0.9669974087497759
B0006,10,1.9572307917560536,0.9616246466459876
B0006,11,1.9455991514129352,0.9559098009149796
B0006,12,1.9347505044841131,0.9505796547137972
B0006,13,1.9232799539368028,0.9449439554578114
B0006,14,1.911889930948487,0.939347820920401
B0006,15,1.9010667141979305,0.9340301690486008
B0006,16,1.8891989948061458,0.9281993331989463
B0006,17,1.878278372248849,0.9228338240050139
B0006,18,1.8675697161520206,0.9175724579573611
B0006,19,1.8675892574453767,0.9175820589657847
B0006,20,1.979626548250818,0.9726281070025072
B0006,21,1.9575499080884022,0.9617814345585967
B0006,22,1.9458150170787551,0.956015859814876
B0006,23,1.9242461121680094,0.945418647339628
B0006,24,1.9459811331421641,0.9560974757905958
B0006,25,1.901407930553079,0.9341978151219875
B0006,26,1.878674213680085,0.923028308415357
B0006,27,1.8683061328264219,0.9179342734506019
B0006,28,1.8560244070082998,0.9119000283836427
B0006,29,1.8451997961855777,0.9065816915777205
B0006,30,1.857228890885317,0.9124918141799352
B0006,31,1.9247760889090635,0.9456790349742867
B0006,32,1.8822317526092551,0.9247761948322795
B0006,33,1.855276687885587,0.9115326597829658
B0006,34,1.8392508917181876,0.9036588818710266
B0006,35,1.8185396073994429,0.8934830346748316
B0006,36,1.8134770059567056,0.8909956824708977
B0006,37,1.7971018450305436,0.8829502550201761
B0006,38,1.7810046294120476,0.8750413873759919
B0006,39,1.7710130422682329,0.8701323309187394
B0006,40,1.7604712448170943,0.864952945691579
B0006,41,1.7502913788006587,0.859951384249673
B0006,42,1.7394925037732578,0.8546456919285944
B0006,43,1.7546766553637203,0.8621059538809914
B0006,44,1.7659390941842175,0.867639403894526
B0006,45,1.7337887419624838,0.8518433254632082
B0006,46,1.713325912040734,0.8417895486292435
B0006,47,1.7024077813673466,0.8364252637451849
B0006,48,1.82371946178183,0.8960279954741002
B0006,49,1.8081284050314708,0.8883678132914206
B0006,50,1.7757610945034283,0.8724651391251901
B0006,51,1.7447409841836798,0.8572243699983239
B0006,52,1.729207034132373,0.8495922454210777
B0006,53,1.7081086552553244,0.8392262113192732
B0006,54,1.6975954237461768,0.8340608610817466
B0006,55,1.6820634524029463,0.8264297086813447
B0006,56,1.6714768322295086,0.821228301199745
B0006,57,1.6607591387047655,0.8159624948921792
B0006,58,1.651121015038069,0.8112271017518528
B0006,59,1.6401349256190927,0.8058294274458677
B0006,60,1.6291999416165441,0.8004568622012265
B0006,61,1.6088496302961666,0.7904583678923177
B0006,62,1.6035244898969248,0.7878420253146665
B0006,63,1.5989712144027983,0.7856049146190022
B0006,64,1.5876273123575604,0.780031440176547
B0006,65,1.5829719744686166,0.7777441842886215
B0006,66,1.567137636713563,0.7699644735295673
B0006,67,1.5613446139713882,0.7671182514739364
B0006,68,1.5511711892790419,0.762119854776846
B0006,69,1.5406741606295171,0.7569624653118686
B0006,70,1.5253138744624433,0.7494156650980108
B0006,71,1.5301570318067428,0.7517952002501654
B0006,72,1.5246566834474087,0.7490927746753414
B0006,73,1.5145492986655427,0.744126824640059
B0006,74,1.509391504602082,0.7415927024943012
B0006,75,1.5039974333050705,0.7389424928579005
B0006,76,1.4935201918040188,0.7337948251946333
B0006,77,1.4876323024497422,0.7309019933714036
B0006,78,1.5302876214401704,0.7518593614163546
B0006,79,1.5040760088360112,0.7389810985080334
B0006,80,1.4887593608730894,0.7314557385723608
B0006,81,1.4782779285546637,0.7263060118809538
B0006,82,1.478459982215684,0.7263954583009604
B0006,83,1.473214844899973,0.7238184227571322
B0006,84,1.4675164935067897,0.7210187145326269
B0006,85,1.4516292657521335,0.7132130179126343
B0006,86,1.4519237720967177,0.7133577144710262
B0006,87,1.4471484694777745,0.711011517633683
B0006,88,1.4468538105659885,0.7108667461161282
B0006,89,1.4416741930284678,0.708321901683239
B0006,90,1.5935866593100128,0.7829593804744059
B0006,91,1.5463902376915637,0.759770882494014
B0006,92,1.51470559175661,0.7442036144029749
B0006,93,1.4989786083335404,0.7364766488653811
B0006,94,1.4831110745410492,0.7286806282628964
B0006,95,1.4729664825468278,0.7236963976177928
B0006,96,1.4627604396099307,0.7186819749578868
B0006,97,1.4518364681062514,0.7133148203630159
B0006,98,1.4468670644030392,0.7108732579778997
B0006,99,1.441380399427779,0.7081775553094546
B0006,100,1.431210744960774,0.7031810109956533
B0006,101,1.4260247179525716,0.7006330174681323
B0006,102,1.420487649966195,0.6979125508434085
B0006,103,1.4207006230355006,0.6980171885557206
B0006,104,1.452255804330839,0.7135208482113887
B0006,105,1.431557632772571,0.7033514435633659
B0006,106,1.415015751158943,0.6952241030736463
B0006,107,1.4097311506517451,0.6926276785146194
B0006,108,1.404917318129309,0.6902625512041874
B0006,109,1.395164296571563,0.6854707065486149
B0006,110,1.3945343832614077,0.6851612181802287
B0006,111,1.3893171179312644,0.6825978766720686
B0006,112,1.3838379472327809,0.6799058560840853
B0006,113,1.3736814238195123,0.674915763306282
B0006,114,1.3786059891863676,0.6773352957654757
B0006,115,1.3737600299108574,0.6749543839713218
B0006,116,1.3682580583942712,0.6722511609085237
B0006,117,1.3633024037317505,0.6698163536881292
B0006,118,1.3580966140172601,0.6672586503678076
B0006,119,1.353269090999531,0.6648867966571198
B0006,120,1.3841605738237488,0.6800643686533974
B0006,121,1.4051467790651473,0.6903752897183545
B0006,122,1.378719022627353,0.6773908312410081
B0006,123,1.3682657783199066,0.6722549538545536
B0006,124,1.3573151296618016,0.6668746922672389
B0006,125,1.3524934638801596,0.6645057163278422
B0006,126,1.3474099151661236,0.6620080723318286
B0006,127,1.3370075130842318,0.656897174696045
B0006,128,1.3312352966718526,0.6540611751852576
B0006,129,1.3259303781727643,0.6514547680110712
B0006,130,1.321578743867529,0.6493167274597319
B0006,131,1.321225074066109,0.6491429627717592
B0006,132,1.3156485301862682,0.6464031008911139
B0006,133,1.3209025697502388,0.648984510278524
B0006,134,1.3474328767273906,0.6620193537828117
B0006,135,1.3260128072353616,0.6514952669744675
B0006,136,1.3101186784831063,0.6436861797633369
B0006,137,1.30521620229393,0.6412775001365069
B0006,138,1.3004061951355774,0.6389142523000749
B0006,139,1.300235735841116,0.6388305024124815
B0006,140,1.2895066722480755,0.6335591097744968
B0006,141,1.279253057384795,0.6285213141239901
B0006,142,1.2792078171714618,0.6284990867482796
B0006,143,1.274036760902923,0.6259584486293798
B0006,144,1.2741273923001468,0.6260029775555019
B0006,145,1.2637639426440779,0.6209112179860495
B0006,146,1.2581373688955233,0.618146775481072
B0006,147,1.253259864055301,0.6157503647520722
B0006,148,1.2532313315493426,0.6157363461901961
B0006,149,1.2480874960313577,0.613209082142838
B0006,150,1.2534354284944844,0.6158366228941904
